환경,작물,정상(0),초기(1),중기(2),말기(3),합계
시설,가지,34702,4114,5005,649,44470
시설,고추,7490,15763,13464,9152,45869
시설,단호박,2896,7106,6875,3190,20067
시설,딸기,19857,11869,6237,4301,42264
시설,상추,10914,12074,12931,13518,49437
시설,수박,13844,7173,7552,1221,29790
시설,애호박,7907,2168,572,0,10647
시설,오이,14127,3443,319,187,18076
시설,쥬키니호박,12058,6832,7447,6118,32455
시설,참외,19665,7150,1540,1837,30192
시설,토마토,17932,6538,13943,3572,41985
시설,포도,22184,2585,88,22,24879
노지,고추,9685,3113,7854,12320,32972
노지,무,12304,10368,1952,432,25056
노지,배추,10501,10464,7840,4208,33013
노지,애호박,11911,9232,6672,2608,30423
노지,양배추,31124,704,2592,6240,40660
노지,오이,14477,7376,4240,2592,28685
노지,잎마름병(토마토),13046,1248,2064,640,16998
노지,콩,11055,10368,12400,2384,36207
노지,파,12755,10112,17712,9920,50499
노지,호박,11879,1536,2000,4304,19719
